daterecorded,user_comment,altitude,general_condition,precipitation_amount,fog_thickness,longitude,thunderstorm_intensity,windy,precipitation_type,latitude,cloud_type,precipitation_unit,tzoffset
1401580801053,-,0.0,Clear,0.0,-,-73.0825544,-,1,-,44.8061589,-,-,-14400000
1401580871773,-,0.0,Clear,0.0,-,-71.1218183,-,-,-,42.3955032,-,-,-14400000
1401580937632,-,0.0,Clear,0.0,-,39.1986405,Infrequent Lightning,-,Rain,21.4987051,-,-,-25200000
1401580956386,-,0.0,Precipitation,0.0,-,39.1986405,-,3,Snow,21.4987051,-,-,-25200000
1401581034998,-,0.0,Clear,0.0,-,-97.8709046,-,1,-,30.524021,-,-,-18000000
1401581057046,-,0.0,Cloudy,0.0,-,-84.1775705,-,1,-,34.1548394,Mostly Cloudy,-,-14400000
1401582269364,-,0.0,Cloudy,0.0,-,-122.6600087,-,1,-,45.5035638,Partly Cloudy,-,-25200000
1401582562841,-,0.0,Clear,0.0,-,-71.2194159,-,1,-,42.3988902,-,-,-14400000
1401582610640,-,0.0,Cloudy,0.0,-,-90.3291626,-,0,-,38.5769039,Partly Cloudy,-,-18000000
1401582716993,-,0.0,Clear,0.0,-,-122.6262586,-,-,-,45.511976,Mostly Cloudy,-,-25200000
1401582756471,-,0.0,Clear,0.0,-,-97.7852386,-,0,-,30.1873754,-,-,-18000000
1401583002581,-,0.0,Cloudy,0.0,-,-80.983684,-,0,-,33.9879673,Partly Cloudy,-,-14400000
1401583270877,-,0.0,Cloudy,0.0,Light Fog,-79.3000198,-,0,-,43.8689863,Partly Cloudy,-,-14400000
1401583312358,-,0.0,Clear,0.0,-,-79.3993935,-,0,-,43.672294,-,-,-14400000
1401583484992,-,0.0,Clear,0.0,Light Fog,-79.3998434,-,0,-,43.6419202,Mostly Cloudy,-,-14400000
1401583753295,-,0.0,Cloudy,0.0,Light Fog,-97.1984351,Infrequent Lightning,0,Rain,49.8272969,Partly Cloudy,-,-18000000
1401584231920,-,0.0,Clear,0.0,-,-97.7756631,-,0,-,30.4586887,-,-,-18000000
1401584506123,-,0.0,Clear,0.0,-,-122.3704887,-,0,-,47.6981789,-,-,-25200000
1401584536347,-,0.0,Clear,0.0,Light Fog,-122.4860626,Infrequent Lightning,0,Rain,48.7255712,Mostly Cloudy,-,-25200000
1401584622374,-,0.0,Cloudy,0.0,-,-94.7041945,-,0,-,38.8805176,Partly Cloudy,-,-18000000
1401585236739,-,0.0,Thunderstorm,0.0,-,-94.1506319,Frequent Lightning,2,-,45.5623964,-,-,-18000000
1401585433497,-,0.0,Clear,0.0,-,-73.8588983,-,0,-,41.1498609,-,-,-14400000
1401585668202,-,0.0,Cloudy,0.0,-,-79.4325242,-,-,-,43.6607557,Partly Cloudy,-,-14400000
1401586035578,-,0.0,Clear,0.0,-,8.8864768,-,1,-,44.4122901,-,-,7200000
1401586682586,-,0.0,Clear,0.0,Light Fog,-75.9715555,-,0,-,42.1402923,-,-,-14400000
1401587046055,-,0.0,Cloudy,0.0,-,-97.5889782,-,-,-,30.4731661,Mostly Cloudy,-,-18000000
1401587065241,-,0.0,Clear,0.0,-,-122.3552758,-,0,-,47.6199455,-,-,-25200000
1401587120567,-,0.0,Clear,0.0,-,-79.4310898,-,0,-,43.87918,-,-,-14400000
1401587462899,-,0.0,Cloudy,0.0,-,-97.2382865,-,0,-,35.1989914,Mostly Cloudy,-,-18000000
1401588008579,-,0.0,Clear,0.0,-,-86.2534973,-,0,-,43.2638892,-,-,-14400000
1401588099305,-,0.0,Clear,0.0,-,-122.3423018,-,0,-,47.6606599,-,-,-25200000
1401588840608,-,0.0,Clear,0.0,-,-79.3996291,-,1,-,43.6419922,Mostly Cloudy,-,-14400000
1401588912667,-,0.0,Clear,0.0,-,-122.3803717,-,-,-,47.6649458,-,-,-25200000
1401589212296,-,0.0,Cloudy,0.0,Light Fog,-97.1420156,-,1,-,49.8955025,Partly Cloudy,-,-18000000
1401590454197,-,0.0,Clear,0.0,-,-122.3465594,-,1,-,47.6142903,-,-,-25200000
1401591939157,-,0.0,Clear,0.0,Light Fog,-97.1527695,-,1,-,49.8710865,Partly Cloudy,-,-18000000
1401592462660,-,0.0,Clear,0.0,-,-79.4354089,-,-,-,43.6599673,-,-,-14400000
1401593198413,-,0.0,Precipitation,1.0,-,-90.5025292,-,0,Rain,14.5856862,-,-,-21600000
1401593925457,-,0.0,Cloudy,0.0,-,-122.3261456,-,0,-,47.6178152,Partly Cloudy,-,-25200000
1401593943094,-,0.0,Clear,0.0,-,173.9476863,-,0,-,-41.5127594,-,-,43200000
1401594485282,-,0.0,Clear,0.0,-,-122.2828762,-,-,-,47.699494,-,-,-25200000
1401595028975,-,0.0,Cloudy,0.0,Light Fog,-122.3739469,-,-,-,47.5138382,Partly Cloudy,-,-25200000
1401595378767,-,0.0,Cloudy,0.0,-,-97.1400633,-,1,-,49.8978339,Mostly Cloudy,-,-18000000
1401596238288,-,0.0,Cloudy,0.0,-,-122.3740518,-,-,-,47.6672969,Partly Cloudy,-,-25200000
1401596452146,-,0.0,Precipitation,2.0,-,150.945985,-,-,Rain,-33.961617,-,-,36000000
1401597360542,-,0.0,Cloudy,0.0,-,-122.3286371,-,1,-,47.5957009,Mostly Cloudy,-,-25200000
1401599733639,-,0.0,Cloudy,0.0,-,1.300307,-,0,-,43.7665365,Very Cloudy,-,7200000
1401600223289,-,0.0,Cloudy,0.0,-,126.4571755,-,-,-,37.4409148,Very Cloudy,-,32400000
1401600899652,-,0.0,Clear,0.0,-,-121.7809632,-,0,-,38.5600861,-,-,-25200000
1401601410320,-,0.0,Cloudy,0.0,-,15.9497579,-,1,-,45.7695718,Very Cloudy,-,7200000
1401602060035,-,0.0,Clear,0.0,-,-76.9027835,-,-,-,38.9909854,-,-,-14400000
1401602266708,-,0.0,Thunderstorm,0.0,-,82.7636469,Infrequent Lightning,-,-,26.8010774,-,-,19800000
1401602293148,-,0.0,Clear,0.0,-,82.7636469,-,-,-,26.8010774,-,-,19800000
1401602486235,-,0.0,Clear,0.0,-,138.2977905,-,0,-,34.9853923,-,-,32400000
1401602938178,-,0.0,Clear,0.0,-,114.2220756,-,0,-,22.2818467,-,-,28800000
1401603453104,-,0.0,Clear,0.0,-,-122.3704193,-,0,-,47.698262,-,-,-25200000
1401603782016,-,0.0,Clear,0.0,-,16.5935761,-,1,-,40.6862128,-,-,7200000
1401604940402,-,0.0,Clear,0.0,-,16.5853908,-,1,-,40.6831843,-,-,7200000
1401605156456,-,0.0,Precipitation,0.0,-,24.9335477,-,-,Rain,54.7538519,-,-,10800000
1401606675937,-,0.0,Clear,0.0,Light Fog,-96.7652333,-,1,-,32.933889,Mostly Cloudy,-,-18000000
1401608221642,-,0.0,Cloudy,0.0,-,-3.604797,-,1,-,37.1996994,Mostly Cloudy,-,7200000
